Cargo,Unidade,Classe,Total,CH_20,CH_40,CH_De,Ti_G,Ti_PG,Ti_M,Ti_D,Ti_PD,Fu_FG,Fu_FCC,Fu_CD,Fu_Sem,Gasto anual com docentes do Magistério Superior em 2019
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Relações Internacionais e Defesa /CCJE,6,13,0,0,13,0,0,0,13,0,0,2,0,11,1087523.39
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Relações Internacionais e Defesa /CCJE,8,1,0,0,1,0,0,0,1,0,0,1,0,0,102811.72
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Relações Internacionais e Defesa /CCJE,7,4,0,0,4,0,0,0,4,0,0,0,0,4,1887422.73
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Relações Internacionais e Defesa /CCJE,4,2,0,0,2,0,0,0,2,0,0,1,0,1,977021.81
Centro de Ciências Jurídicas e Econômicas                   ,Instituto de Relações Internacionais e Defesa /CCJE,5,1,0,0,1,0,0,1,0,0,0,0,0,1,110908.9
Centro de Ciências da Saúde                                 ,Centro de Ciências da Saúde                                 ,6,5,0,1,4,0,0,0,5,0,2,1,1,1,982946.64
Centro de Ciências da Saúde                                 ,Centro de Ciências da Saúde                                 ,7,3,0,0,3,0,0,0,3,0,0,2,0,1,856220.6
Centro de Ciências da Saúde                                 ,Centro de Ciências da Saúde                                 ,4,1,0,0,1,0,0,0,1,0,1,0,0,0,220871.56
Centro de Ciências da Saúde                                 ,Centro de Ciências da Saúde                                 ,8,1,0,0,1,0,0,0,1,0,0,0,1,0,433160.57
Centro de Ciências da Saúde                                 ,Faculdade de Medicina                                       ,5,64,6,33,25,2,3,59,0,0,0,0,0,64,6280380.57
Centro de Ciências da Saúde                                 ,Faculdade de Medicina                                       ,4,48,9,30,9,7,6,14,21,0,1,1,0,46,4235711.49
Centro de Ciências da Saúde                                 ,Faculdade de Medicina                                       ,8,23,0,6,17,0,0,0,23,0,2,2,1,18,6888066.89
Centro de Ciências da Saúde                                 ,Faculdade de Medicina                                       ,7,85,6,41,38,0,0,0,85,0,5,6,0,74,18698071.34
Centro de Ciências da Saúde                                 ,Faculdade de Medicina                                       ,6,107,13,50,44,0,0,7,100,0,6,3,0,98,15046713.84
Centro de Ciências da Saúde                                 ,Faculdade de Odontologia                                    ,6,24,3,2,19,0,0,1,23,0,2,1,0,21,4128776.33
Centro de Ciências da Saúde                                 ,Faculdade de Odontologia                                    ,8,14,0,1,13,0,0,0,14,0,1,1,0,12,4520659.9
Centro de Ciências da Saúde                                 ,Faculdade de Odontologia                                    ,5,6,2,2,2,0,0,6,0,0,0,0,0,6,566597.19
Centro de Ciências da Saúde                                 ,Faculdade de Odontologia                                    ,4,7,0,0,7,1,0,2,4,0,0,0,0,7,822335.57
Centro de Ciências da Saúde                                 ,Faculdade de Odontologia                                    ,7,21,1,3,17,0,0,0,21,0,2,1,1,17,5539133.48
Centro de Ciências da Saúde                                 ,Faculdade de Farmácia                                       ,8,8,0,0,8,0,0,0,8,0,0,0,0,8,2538229.35
Centro de Ciências da Saúde                                 ,Faculdade de Farmácia                                       ,6,47,1,0,46,0,0,0,47,0,4,1,0,42,9374170.14
Centro de Ciências da Saúde                                 ,Faculdade de Farmácia                                       ,5,4,0,0,4,0,0,4,0,0,0,0,0,4,519382.92
Centro de Ciências da Saúde                                 ,Faculdade de Farmácia                                       ,4,2,0,0,2,0,0,0,2,0,0,0,0,2,545490.32
Centro de Ciências da Saúde                                 ,Faculdade de Farmácia                                       ,7,31,0,0,31,0,0,0,31,0,0,3,1,27,8085697.8
Centro de Ciências da Saúde                                 ,Escola de Enfermagem                                        ,4,6,0,0,6,0,0,0,6,0,1,0,0,5,813248.99
Centro de Ciências da Saúde                                 ,Escola de Enfermagem                                        ,7,36,0,0,36,0,0,0,36,0,2,1,1,32,10383918.04
Centro de Ciências da Saúde                                 ,Escola de Enfermagem                                        ,6,20,0,0,20,0,0,1,19,0,2,1,0,17,4697245.87
Centro de Ciências da Saúde                                 ,Escola de Enfermagem                                        ,8,9,0,0,9,0,0,0,9,0,0,0,0,9,3237573.23
Centro de Ciências da Saúde                                 ,Escola de Enfermagem                                        ,5,4,1,0,3,0,0,4,0,0,0,0,0,4,316640.81
Centro de Ciências da Saúde                                 ,Instituto de Ciências Biomédicas,5,2,1,0,1,0,0,2,0,0,0,0,0,2,205400.35
Centro de Ciências da Saúde                                 ,Instituto de Ciências Biomédicas,4,8,0,0,8,0,0,0,8,0,0,0,0,8,1413011.73
Centro de Ciências da Saúde                                 ,Instituto de Ciências Biomédicas,7,30,0,0,30,0,0,0,30,0,1,4,0,25,7794265.23
Centro de Ciências da Saúde                                 ,Instituto de Ciências Biomédicas,6,27,2,0,25,0,0,0,27,0,1,0,0,26,4652293.94
Centro de Ciências da Saúde                                 ,Instituto de Ciências Biomédicas,8,11,0,0,11,0,0,0,11,0,0,1,1,9,4291139.92
Centro de Ciências da Saúde                                 ,Instituto de Microbiologia                                  ,4,5,0,0,5,0,0,0,5,0,0,0,0,5,999278.78
Centro de Ciências da Saúde                                 ,Instituto de Microbiologia                                  ,8,20,0,0,20,0,0,0,20,0,2,2,1,15,6979996.05
Centro de Ciências da Saúde                                 ,Instituto de Microbiologia                                  ,6,21,0,0,21,0,0,0,21,0,0,1,0,20,3827380.28
Centro de Ciências da Saúde                                 ,Instituto de Microbiologia                                  ,7,24,0,0,24,0,0,0,24,0,2,0,0,22,6863076
Centro de Ciências da Saúde                                 ,Instituto de Nutrição                                       ,5,14,1,0,13,0,1,13,0,0,0,1,0,13,1420540.51
Centro de Ciências da Saúde                                 ,Instituto de Nutrição                                       ,4,10,1,0,9,1,0,2,7,0,0,0,0,10,1190838.8
Centro de Ciências da Saúde                                 ,Instituto de Nutrição                                       ,7,22,0,0,22,0,0,0,22,0,1,2,1,18,6187105.12
Centro de Ciências da Saúde                                 ,Instituto de Nutrição                                       ,8,3,0,0,3,0,0,0,3,0,0,0,0,3,1132869.31
Centro de Ciências da Saúde                                 ,Instituto de Nutrição                                       ,6,21,0,0,21,0,0,0,21,0,2,2,0,17,4330944.89
Centro de Ciências da Saúde                                 ,Instituto de Biofísica Carlos Chagas Filho,6,19,0,0,19,0,0,0,19,0,0,0,0,19,3929686.31
Centro de Ciências da Saúde                                 ,Instituto de Biofísica Carlos Chagas Filho,4,9,0,0,9,0,0,0,9,0,0,0,0,9,1273980.56
Centro de Ciências da Saúde                                 ,Instituto de Biofísica Carlos Chagas Filho,8,21,0,0,21,0,0,0,21,0,0,1,0,20,7671240.94
Centro de Ciências da Saúde                                 ,Instituto de Biofísica Carlos Chagas Filho,7,46,1,0,45,1,0,0,45,0,0,3,1,42,12933009.92
Centro de Ciências da Saúde                                 ,Instituto de Pesquisas de Produtos Naturais Walter Mors/IPPN,6,7,0,0,7,0,0,0,7,0,0,1,0,6,1306786.78
Centro de Ciências da Saúde                                 ,Instituto de Pesquisas de Produtos Naturais Walter Mors/IPPN,8,4,0,0,4,0,0,0,4,0,0,0,0,4,1530115.29
Centro de Ciências da Saúde                                 ,Instituto de Pesquisas de Produtos Naturais Walter Mors/IPPN,4,1,0,0,1,0,0,0,1,0,0,0,0,1,190302.67
Centro de Ciências da Saúde                                 ,Instituto de Pesquisas de Produtos Naturais Walter Mors/IPPN,7,5,0,0,5,0,0,0,5,0,0,0,1,4,1900705.64
Centro de Ciências da Saúde                                 ,Instituto de Ginecologia                                    ,5,1,0,1,0,0,0,1,0,0,0,0,0,1,87644.88
Centro de Ciências da Saúde                                 ,Instituto de Ginecologia                                    ,7,1,0,1,0,0,0,0,1,0,0,0,1,0,199929.43
Centro de Ciências da Saúde                                 ,Instituto de Psiquiatria                                    ,7,3,0,0,3,0,0,0,3,0,0,0,0,3,995608.95
Centro de Ciências da Saúde                                 ,Instituto de Psiquiatria                                    ,4,2,0,0,2,0,0,0,2,0,0,0,0,2,165261.6
Centro de Ciências da Saúde                                 ,Instituto de Psiquiatria                                    ,6,7,0,4,3,0,0,0,7,0,0,1,1,5,1171788.8
Centro de Ciências da Saúde                                 ,Instituto de Psiquiatria                                    ,8,1,0,0,1,0,0,0,1,0,0,1,0,0,110236.91
Centro de Ciências da Saúde                                 ,Instituto de Puericultura e Pediatria                       ,8,1,0,0,1,0,0,0,1,0,0,1,0,0,350135.18
Centro de Ciências da Saúde                                 ,Instituto de Doenças do Tórax                               ,8,1,0,0,1,0,0,0,1,0,0,0,1,0,130739.93
Centro de Ciências da Saúde                                 ,Instituto de Atenção a Saúde São Francisco de Assis,7,1,0,0,1,0,0,0,1,0,0,0,1,0,322164.44
Centro de Ciências da Saúde                                 ,Escola de Educação Física e Desportos                       ,7,24,0,0,24,0,0,0,24,0,2,2,0,20,6158944.95
Centro de Ciências da Saúde                                 ,Escola de Educação Física e Desportos                       ,5,17,1,2,14,0,3,14,0,0,1,2,0,14,2364969.12
Centro de Ciências da Saúde                                 ,Escola de Educação Física e Desportos                       ,6,39,1,0,38,1,1,9,28,0,4,3,1,31,7462023.78
Centro de Ciências da Saúde                                 ,Escola de Educação Física e Desportos                       ,4,13,2,1,10,3,1,2,7,0,0,0,0,13,1521549.04
Centro de Ciências da Saúde                                 ,Escola de Educação Física e Desportos                       ,8,3,0,0,3,0,0,0,3,0,0,0,0,3,581475.9
Centro de Ciências da Saúde                                 ,Instituto de Biologia                                       ,6,17,0,0,17,0,0,0,17,0,1,3,0,13,3890514.29
Centro de Ciências da Saúde                                 ,Instituto de Biologia                                       ,8,15,0,0,15,0,0,0,15,0,2,1,0,12,4916221.97
Centro de Ciências da Saúde                                 ,Instituto de Biologia                                       ,7,47,2,0,45,0,0,0,47,0,2,3,1,41,12449571.89
Centro de Ciências da Saúde                                 ,Instituto de Biologia                                       ,4,8,0,0,8,0,0,0,8,0,0,3,0,5,1226528.87
Centro de Ciências da Saúde                                 ,Maternidade Escola                                          ,8,1,0,1,0,0,0,0,1,0,0,0,1,0,220970.14
Centro de Ciências da Saúde                                 ,Maternidade Escola                                          ,7,1,1,0,0,0,0,0,1,0,0,0,0,1,122254.54
Centro de Ciências da Saúde                                 ,Núcleo de Tecnologia Educacional para a Saúde               ,7,4,0,0,4,0,0,0,4,0,0,0,1,3,1198121.41
Centro de Ciências da Saúde                                 ,Núcleo de Tecnologia Educacional para a Saúde               ,4,1,0,0,1,0,0,0,1,0,0,0,0,1,132393.77
Centro de Ciências da Saúde                                 ,Núcleo de Tecnologia Educacional para a Saúde               ,8,1,0,0,1,0,0,0,1,0,0,0,0,1,343650.02
Centro de Ciências da Saúde                                 ,Núcleo de Tecnologia Educacional para a Saúde               ,6,5,0,0,5,0,0,0,5,0,0,0,0,5,861452.68
Centro de Ciências da Saúde                                 ,Instituto de Estudos de Saúde Coletiva,7,17,0,1,16,0,0,0,17,0,0,3,1,13,4748786.06
Centro de Ciências da Saúde                                 ,Instituto de Estudos de Saúde Coletiva,6,13,1,1,11,0,0,1,12,0,0,3,0,10,2085930.33
Centro de Ciências da Saúde                                 ,Instituto de Estudos de Saúde Coletiva,5,3,1,0,2,0,0,3,0,0,0,0,0,3,233647.67
Centro de Ciências da Saúde                                 ,Instituto de Estudos de Saúde Coletiva,4,4,0,0,4,0,0,0,4,0,0,1,0,3,601806.08
Centro de Ciências da Saúde                                 ,Instituto de Estudos de Saúde Coletiva,8,2,0,0,2,0,0,0,2,0,0,0,0,2,421379.15
Centro de Ciências da Saúde                                 ,Instituto de Bioquímica Médica Leopoldo De Meis,6,12,0,0,12,0,0,0,12,0,0,1,0,11,1942848.42
Centro de Ciências da Saúde                                 ,Instituto de Bioquímica Médica Leopoldo De Meis,8,9,0,0,9,0,0,0,9,0,0,0,0,9,2787205.49
Centro de Ciências da Saúde                                 ,Instituto de Bioquímica Médica Leopoldo De Meis,7,23,0,0,23,0,0,0,23,0,0,1,1,21,6244333.44
Centro de Ciências da Saúde                                 ,Instituto de Bioquímica Médica Leopoldo De Meis,4,6,0,0,6,0,0,0,6,0,0,0,0,6,824210.37
Centro de Ciências da Saúde                                 ,Núcleo de Pesquisas Ecológicas de Macaé - NUPEM,7,19,0,0,19,0,0,0,19,0,0,0,1,18,4503736.64
Centro de Ciências da Saúde                                 ,Núcleo de Pesquisas Ecológicas de Macaé - NUPEM,4,4,0,0,4,0,0,0,4,0,0,0,0,4,1115498.24
Centro de Ciências da Saúde                                 ,Núcleo de Pesquisas Ecológicas de Macaé - NUPEM,6,21,0,0,21,0,0,0,21,0,1,0,0,20,3659042.81
Centro de Ciências da Saúde                                 ,Núcleo de Pesquisas Ecológicas de Macaé - NUPEM,8,1,0,0,1,0,0,0,1,0,0,0,0,1,380486.44
Centro de Ciências da Saúde                                 ,Instituto do Coração - ICES,7,1,0,1,0,0,0,0,1,0,0,0,1,0,209365.7
Centro de Ciências da Saúde                                 ,Centro Nacional de Biologia Estrutural e Bioimagem,4,1,0,0,1,0,0,0,1,0,0,0,0,1,111860.88
Centro de Ciências da Saúde                                 ,Centro Nacional de Biologia Estrutural e Bioimagem,8,2,0,0,2,0,0,0,2,0,0,2,0,0,554048.76
Centro de Ciências da Saúde                                 ,Centro Nacional de Biologia Estrutural e Bioimagem,7,2,0,0,2,0,0,0,2,0,0,2,0,0,678067.75
Centro de Ciências da Saúde                                 ,Centro Nacional de Biologia Estrutural e Bioimagem,6,1,0,0,1,0,0,0,1,0,0,1,0,0,214349.93
Centro de Ciências da Saúde                                 ,Núcleo de Bioética e Ética Aplicada - NUBEA,8,1,0,0,1,0,0,0,1,0,0,0,0,1,166102.07
Centro de Ciências da Saúde                                 ,Núcleo de Bioética e Ética Aplicada - NUBEA,6,1,0,0,1,0,0,0,1,0,0,0,0,1,225110.69
Centro de Ciências da Saúde                                 ,Núcleo de Bioética e Ética Aplicada - NUBEA,7,2,0,0,2,0,0,0,2,0,0,0,0,2,605796.5
Centro de Ciências da Saúde                                 ,Núcleo de Bioética e Ética Aplicada - NUBEA,5,1,1,0,0,0,0,1,0,0,0,0,0,1,55343.21
Centro de Tecnologia                                        ,Centro de Tecnologia                                        ,8,1,0,0,1,0,0,0,1,0,0,0,1,0,715782.45
Centro de Tecnologia                                        ,Centro de Tecnologia                                        ,7,2,0,0,2,0,0,0,2,0,1,1,0,0,261371.65
Centro de Tecnologia                                        ,Centro de Tecnologia                                        ,6,1,0,0,1,0,0,0,1,0,0,1,0,0,266225.59
Centro de Tecnologia                                        ,Escola Politécnica ,8,40,0,0,40,0,0,0,40,0,3,2,0,35,12781500.04
Centro de Tecnologia                                        ,Escola Politécnica ,6,49,0,2,47,0,0,6,43,0,3,7,0,39,9230003.07
Centro de Tecnologia                                        ,Escola Politécnica ,7,81,1,0,80,0,0,0,81,0,6,9,1,65,22607950.46
Centro de Tecnologia                                        ,Escola Politécnica ,5,7,5,0,2,4,0,3,0,0,0,0,0,7,525510.91
Centro de Tecnologia                                        ,Escola Politécnica ,4,19,0,0,19,0,0,0,19,0,0,1,0,18,2767714.29
Centro de Tecnologia                                        ,Escola de Química                                           ,6,31,0,0,31,0,0,0,31,0,1,4,0,26,5080091.42
Centro de Tecnologia                                        ,Escola de Química                                           ,8,15,0,0,15,0,0,0,15,0,0,3,1,11,4935535.94
Centro de Tecnologia                                        ,Escola de Química                                           ,7,31,0,0,31,0,0,0,31,0,3,2,0,26,9096914.2
Centro de Tecnologia                                        ,Escola de Química                                           ,4,5,0,0,5,0,0,0,5,0,0,0,0,5,1414460.38
Centro de Tecnologia                                        ,Escola de Química                                           ,5,1,1,0,0,0,0,1,0,0,0,0,0,1,74959.33
Centro de Tecnologia                                        ,Coordenação de Programas de Pos Graduação em Engenharia     ,4,19,0,0,19,0,0,0,19,0,0,0,0,19,2566699.91
Centro de Tecnologia                                        ,Coordenação de Programas de Pos Graduação em Engenharia     ,6,21,0,1,20,0,0,0,21,0,0,0,0,21,4299751.93
Centro de Tecnologia                                        ,Coordenação de Programas de Pos Graduação em Engenharia     ,8,78,0,0,78,0,0,0,78,0,0,10,1,67,26802521.97
Centro de Tecnologia                                        ,Coordenação de Programas de Pos Graduação em Engenharia     ,7,56,1,0,55,0,0,0,56,0,0,3,0,53,14486768.75
Centro de Tecnologia                                        ,Instituto de Macromoléculas                                 ,6,4,0,0,4,0,0,0,4,0,0,1,0,3,1008084.54
Centro de Tecnologia                                        ,Instituto de Macromoléculas                                 ,8,9,0,0,9,0,0,0,9,0,0,1,1,7,3183754.98
Centro de Tecnologia                                        ,Instituto de Macromoléculas                                 ,7,5,0,0,5,0,0,0,5,0,0,0,0,5,1295330.19
Centro de Tecnologia                                        ,Núcleo Interdisciplinar para o Desenvolvimento Social / CT,6,1,0,0,1,0,0,0,1,0,0,0,1,0,208221.72
Centro de Tecnologia                                        ,Núcleo Interdisciplinar para o Desenvolvimento Social / CT,7,1,0,0,1,0,0,0,1,0,0,1,0,0,298235.06
Fórum de Ciência e Cultura                                  ,Fórum de Ciência e Cultura                                  ,7,1,0,0,1,0,0,0,1,0,0,0,1,0,184525.67
Fórum de Ciência e Cultura                                  ,Fórum de Ciência e Cultura                                  ,5,1,0,0,1,0,0,1,0,0,0,0,1,0,47680.03
Fórum de Ciência e Cultura                                  ,Fórum de Ciência e Cultura                                  ,8,1,0,0,1,0,0,0,1,0,0,0,1,0,588349.53
Fórum de Ciência e Cultura                                  ,Fórum de Ciência e Cultura                                  ,6,1,0,0,1,0,0,1,0,0,0,0,0,1,217468.67
Fórum de Ciência e Cultura                                  ,Museu Nacional/FCC                                          ,8,26,1,0,25,0,0,0,26,0,0,1,1,24,8686496.26
Fórum de Ciência e Cultura                                  ,Museu Nacional/FCC                                          ,6,14,0,0,14,0,0,0,14,0,0,1,0,13,3308892.53
Fórum de Ciência e Cultura                                  ,Museu Nacional/FCC                                          ,U,1,0,0,1,0,0,0,1,0,0,1,0,0,281375.25
Fórum de Ciência e Cultura                                  ,Museu Nacional/FCC                                          ,4,5,0,0,5,0,0,0,5,0,0,0,0,5,675996.79
Fórum de Ciência e Cultura                                  ,Museu Nacional/FCC                                          ,7,39,0,0,39,0,0,0,39,0,0,9,0,30,10364010.78
Fórum de Ciência e Cultura                                  ,Casa da Ciência/FCC,6,1,0,0,1,0,0,0,1,0,0,0,0,1,50581.15
Fórum de Ciência e Cultura                                  ,Universidade da Cidadania/FCC,7,1,0,0,1,0,0,0,1,0,0,0,0,1,267719.69
Fórum de Ciência e Cultura                                  ,Núcleo de Rádio e TV/FCC,4,1,0,0,1,0,0,0,1,0,1,0,0,0,114832.81
Superintendência Geral de Graduação e Corpo Discente        ,Superintendência Geral de Graduação e Corpo Discente        ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,246720.37
Superintendência Geral de Graduação e Corpo Discente        ,Superintendência Geral de Graduação e Corpo Discente        ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,102880.75
PR-6 Pró-Reitoria de Gestão e Governança,PR-6 Pró-Reitoria de Gestão e Governança,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12412.68
Superintendência Geral para Graduados e Pesquisa            ,Superintendência Geral para Graduados e Pesquisa            ,8,0,0,0,0,0,0,0,0,0,0,0,0,0,350376.12
PR-5 Pró-Reitoria de Extensão,PR-5 Pró-Reitoria de Extensão,6,0,0,0,0,0,0,0,0,0,0,0,0,0,103092.13
Centro de Ciências Jurídicas e Econômicas                   ,Centro de Ciências Jurídicas e Econômicas                   ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,195512.8
Fórum de Ciência e Cultura                                  ,Universidade da Cidadania/FCC,5,0,0,0,0,0,0,0,0,0,0,0,0,0,77358.92
Fórum de Ciência e Cultura                                  ,Fórum de Ciência e Cultura                                  ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30176.76
Centro de Ciências da Saúde                                 ,Instituto de Doenças do Tórax                               ,7,0,0,0,0,0,0,0,0,0,0,0,0,0,221005.28
Centro de Ciências Matemáticas e da Natureza                ,Instituto de Física                                         ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,129862.04
Centro de Ciências da Saúde                                 ,Instituto de Neurologia                                     ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,141158.82
Fórum de Ciência e Cultura                                  ,Núcleo de Rádio e TV/FCC,7,0,0,0,0,0,0,0,0,0,0,0,0,0,113390.06
Centro de Ciências da Saúde                                 ,Instituto de Biologia                                       ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,100017.87
Centro de Tecnologia                                        ,Núcleo Interdisciplinar para o Desenvolvimento Social / CT,8,0,0,0,0,0,0,0,0,0,0,0,0,0,124840.17
